Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Bid1,"Leg2 Strike",Type,Ask2,BE,"Net Cr(Db)",%Cost,"Max Profit","Max Loss",Upside,Downside,Delta,"Profit Prob"
SPY,635.92,2025-11-21,92,670.00,Call,5.26,545.00,Put,3.44,634.1,1.82,0.3%,35.9,89.1,5.65%,-14.01%,0.670047,51.5%
SPY,635.92,2025-11-21,92,670.00,Call,5.26,550.00,Put,3.71,634.37,1.55,0.2%,35.63,84.37,5.60%,-13.27%,0.662349,51.3%
SPY,635.92,2025-11-21,92,670.00,Call,5.26,560.00,Put,4.34,635,0.92,0.1%,35,75,5.50%,-11.79%,0.644552,50.8%
SPY,635.92,2025-11-21,92,670.00,Call,5.26,565.00,Put,4.71,635.37,0.55,0.1%,34.63,70.37,5.45%,-11.07%,0.634255,50.5%
SPY,635.92,2025-11-21,92,670.00,Call,5.26,570.00,Put,5.12,635.78,0.14,0.0%,34.22,65.78,5.38%,-10.34%,0.622965,50.1%
SPY,635.92,2025-11-21,92,675.00,Call,3.99,545.00,Put,3.44,635.37,0.55,0.1%,39.63,90.37,6.23%,-14.21%,0.713132,50.5%
SPY,635.92,2025-11-21,92,675.00,Call,3.99,550.00,Put,3.71,635.64,0.28,0.0%,39.36,85.64,6.19%,-13.47%,0.705434,50.2%
SPY,635.92,2025-11-21,92,675.00,Call,3.99,560.00,Put,4.34,636.27,-0.35,-0.1%,38.73,76.27,6.09%,-11.99%,0.687637,49.7%
SPY,635.92,2025-11-21,92,675.00,Call,3.99,565.00,Put,4.71,636.64,-0.72,-0.1%,38.36,71.64,6.03%,-11.27%,0.67734,49.4%
SPY,635.92,2025-11-21,92,675.00,Call,3.99,570.00,Put,5.12,637.05,-1.13,-0.2%,37.95,67.05,5.97%,-10.54%,0.666051,49.0%
SPY,635.92,2025-11-21,92,680.00,Call,2.99,545.00,Put,3.44,636.37,-0.45,-0.1%,43.63,91.37,6.86%,-14.37%,0.751556,49.6%
SPY,635.92,2025-11-21,92,680.00,Call,2.99,550.00,Put,3.71,636.64,-0.72,-0.1%,43.36,86.64,6.82%,-13.62%,0.743858,49.4%
SPY,635.92,2025-11-21,92,680.00,Call,2.99,560.00,Put,4.34,637.27,-1.35,-0.2%,42.73,77.27,6.72%,-12.15%,0.726061,48.9%
SPY,635.92,2025-11-21,92,680.00,Call,2.99,565.00,Put,4.71,637.64,-1.72,-0.3%,42.36,72.64,6.66%,-11.42%,0.715764,48.5%
SPY,635.92,2025-11-21,92,680.00,Call,2.99,570.00,Put,5.12,638.05,-2.13,-0.3%,41.95,68.05,6.60%,-10.70%,0.704475,48.2%
SPY,635.92,2025-11-21,92,700.00,Call,0.85,545.00,Put,3.44,638.51,-2.59,-0.4%,61.49,93.51,9.67%,-14.70%,0.853314,47.8%
SPY,635.92,2025-11-21,92,700.00,Call,0.85,550.00,Put,3.71,638.78,-2.86,-0.4%,61.22,88.78,9.63%,-13.96%,0.845616,47.6%
SPY,635.92,2025-11-21,92,700.00,Call,0.85,560.00,Put,4.34,639.41,-3.49,-0.5%,60.59,79.41,9.53%,-12.49%,0.827819,47.1%
SPY,635.92,2025-11-21,92,700.00,Call,0.85,565.00,Put,4.71,639.78,-3.86,-0.6%,60.22,74.78,9.47%,-11.76%,0.817522,46.7%
SPY,635.92,2025-11-21,92,700.00,Call,0.85,570.00,Put,5.12,640.19,-4.27,-0.7%,59.81,70.19,9.41%,-11.04%,0.806233,46.4%
SPY,635.92,2025-12-19,120,680.00,Call,5.19,540.00,Put,4.55,635.28,0.64,0.1%,44.72,95.28,7.03%,-14.98%,0.684321,50.5%
SPY,635.92,2025-12-19,120,680.00,Call,5.19,550.00,Put,5.23,635.96,-0.04,0.0%,44.04,85.96,6.93%,-13.52%,0.668409,50.0%
SPY,635.92,2025-12-19,120,680.00,Call,5.19,560.00,Put,6.02,636.75,-0.83,-0.1%,43.25,76.75,6.80%,-12.07%,0.64948,49.4%
SPY,635.92,2025-12-19,120,680.00,Call,5.19,570.00,Put,6.96,637.69,-1.77,-0.3%,42.31,67.69,6.65%,-10.64%,0.627246,48.7%
SPY,635.92,2025-12-19,120,700.00,Call,1.87,550.00,Put,5.23,639.28,-3.36,-0.5%,60.72,89.28,9.55%,-14.04%,0.785279,47.6%
SPY,635.92,2025-12-19,120,700.00,Call,1.87,560.00,Put,6.02,640.07,-4.15,-0.7%,59.93,80.07,9.42%,-12.59%,0.766349,47.0%
SPY,635.92,2025-12-19,120,700.00,Call,1.87,570.00,Put,6.96,641.01,-5.09,-0.8%,58.99,71.01,9.28%,-11.17%,0.744116,46.3%
SPY,635.92,2026-01-16,148,675.00,Call,8.99,540.00,Put,5.81,632.74,3.18,0.5%,42.26,92.74,6.65%,-14.58%,0.592809,52.0%
SPY,635.92,2026-01-16,148,675.00,Call,8.99,550.00,Put,6.59,633.52,2.4,0.4%,41.48,83.52,6.52%,-13.13%,0.576124,51.5%
SPY,635.92,2026-01-16,148,700.00,Call,3.13,550.00,Put,6.59,639.38,-3.46,-0.5%,60.62,89.38,9.53%,-14.06%,0.73293,47.8%
XLF,52.72,2025-10-17,57,57.00,Call,0.1,45.00,Put,0.17,52.79,-0.07,-0.1%,4.21,7.79,7.99%,-14.78%,0.853711,49.2%
XLF,52.72,2025-10-17,57,57.00,Call,0.1,47.00,Put,0.25,52.87,-0.15,-0.3%,4.13,5.87,7.83%,-11.13%,0.819249,48.2%
"Downloaded from Barchart.com as of 08-21-2025 02:35pm CDT"
